127.0.0.1 - - [03/Sep/2018:23:25:54 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:35 +0100] "GET /ExerciciosProgramacao/index.html HTTP/1.1" 200 11247
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:36 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:36 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:36 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:36 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:36 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:36 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:36 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:36 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:47 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "POST /ExerciciosProgramacao/rest/users/auth HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/homePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:26:57 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:27:00 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:27:28 +0100] "POST /ExerciciosProgramacao/rest/exercise HTTP/1.1" 500 5831
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:29:52 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:29:52 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:29:52 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:30:02 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=asd&title=asd&Explicacao=asd&txttags=sd&txtcodigo=as&txtinput=&txtoutput=asd HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [03/Sep/2018:23:30:11 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=asd&title=asd&Explicacao=asd&txttags=sd&txtcodigo=as&txtinput=&txtoutput=asd HTTP/1.1" 304 -
